"Causas evitáveis";"2020";"2021";"2022";"2023";"2024";"Total"
"1. Causas evitáveis";779;804;790;795;825;3993
"1.1. Reduzíveis pelas ações de imunoprevenção";-;2;-;-;-;2
".. Tuberculose miliar";-;2;-;-;-;2
"1.2. Reduz ações prom prev contr atenç doenç infec";105;106;113;111;125;560
".. Tuberculose respirat c/confirm bacter e histol";2;5;-;2;-;9
".. Tuberculose vias respirat s/conf bacter histol";2;-;2;4;1;9
".. Sequelas de tuberculose";-;-;-;1;-;1
".. Doenças infecciosas intestinais";1;3;3;2;3;12
".. Doenças pelo vírus da imunodeficiência humana";21;19;18;20;18;96
".. Hepatites virais (exceto Hepatite aguda B)";3;1;2;3;4;13
".. Sífilis, gonorreias e outras DST";-;1;-;-;-;1
".. Doenças inflamatórias órgãos pélvicos femininos";1;-;-;-;1;2
".. Outras infecções";31;36;32;26;30;155
".. Febre reumát aguda e doenç reumát crôn coração";6;3;2;5;1;17
".. Infecções respirat incl pneumonia e influenza";32;32;44;42;54;204
".. Infecções da pele e do tecido subcutâneo";3;1;5;2;3;14
".. Outras doenças de notificação compulsória";1;2;2;1;3;9
".. Infecção do trato urinário localiz não especif";2;3;3;3;7;18
"1.3. Reduz ações prom prev contr atenç doe ñ trans";446;472;474;434;440;2266
".. Neopl malig lábio melanoma malig pele outr pele";1;3;2;1;5;12
".. Neopl malig fígado vias biliares intra-hepátic";12;9;6;16;12;55
".. Neoplasia maligna do estômago";8;12;7;5;10;42
".. Neopl malig cólon junção retossigmoid reto ânus";15;17;7;16;21;76
".. Neoplasia maligna boca faringe e laringe";9;10;7;10;10;46
".. Neoplasia maligna do esôfago";3;5;1;2;6;17
".. Neoplasia maligna traqueia brônquios pulmões";21;19;22;23;20;105
".. Neoplasia maligna da mama";13;15;11;21;26;86
".. Neoplasia maligna do colo do útero";12;11;21;12;13;69
".. Neoplasia maligna dos testículos";-;2;1;-;-;3
".. Neoplasia maligna da glândula tireoide";1;-;1;-;1;3
".. Doença de Hodgkin";-;1;-;-;2;3
".. Leucemia linfoide";3;1;-;2;1;7
".. Leucemia mieloide";2;1;1;4;1;9
".. Tireotoxicose hipotireoidismo e deficiênc iodo";-;2;-;-;-;2
".. Diabetes mellitus";79;77;87;75;50;368
".. Obesidade";-;6;2;2;2;12
".. Psicose alcoólica e outr transtornos do álcool";26;26;26;31;18;127
".. Epilepsia e estado de mal epiléptico";3;5;2;3;6;19
".. Doenças hipertensivas exceto hipert secundária";43;33;19;15;14;124
".. Doenças isquêmicas do coração";55;77;94;70;76;372
".. Aterosclerose";1;-;-;-;1;2
".. Insuficiência cardíaca";18;20;18;16;18;90
".. Doenças cerebrovasculares";80;70;80;67;76;373
".. Doenças crônicas vias aéreas infer e edema pulm";16;17;25;16;21;95
".. Úlceras gástrica duodenal péptica gastrojejunal";5;10;5;6;5;31
".. Apendicite aguda";1;-;-;-;-;1
".. Doenças pulmonares devidas a agentes externos";1;4;4;3;4;16
".. Hérnias íleo paralítico e obstr intest s/hérnia";6;3;9;6;7;31
".. Transtornos da vesícula biliar e vias biliares";7;5;9;4;6;31
".. Insuficiência renal crônica";5;11;7;8;8;39
"1.4. Reduz ações prev contr atenção causas matern";4;11;6;-;1;22
".. Complicações gravidez parto e puerpério";4;11;6;-;1;22
"1.5. Reduz ações prom prev atenç causas externas";224;213;197;250;259;1143
".. Acidentes de transporte";44;55;57;68;64;288
".. Quedas";6;9;10;12;10;47
".. Afogamento e submersão acidentais";10;9;4;10;4;37
".. Exposição ao fumo, ao fogo e às chamas";3;-;2;1;-;6
".. Envenenamento acid exposição substânc nocivas";-;-;1;-;-;1
".. Lesões autoprovocadas intencionalmente";21;20;16;19;26;102
".. Agressões";126;107;96;132;144;605
".. Intervenções legais e operacões de guerra";1;-;2;-;3;6
".. Causas iatrogênicas";-;1;3;-;1;5
".. Exposição a forças mecânicas inanimadas";2;-;-;-;2;4
".. Exposição a forças mecânicas animadas";1;-;-;-;-;1
".. Outros riscos acidentais à respiração";2;1;-;1;-;4
".. Expos corr elétr radiação temperat press extrem";6;8;3;4;2;23
".. Contato com animais e plantas venenosas";-;-;-;-;2;2
".. Efeit adv drog medic e subst biológ terapêutic";-;-;-;1;-;1
".. Eventos cuja intenção é indeterminada";2;3;3;2;1;11
"2. Causas mal definidas";11;23;21;22;26;103
"3. Demais causas (não claramente evitáveis)";480;670;245;213;214;1822
"Total";1270;1497;1056;1030;1065;5918